time (s)	charge (C)	time (s)	current (A)
5.450e+002	-2.143e-001	5.450e+002	3.249e-004
5.500e+002	-2.159e-001	5.500e+002	3.226e-004
5.550e+002	-2.176e-001	5.550e+002	3.394e-004
5.600e+002	-2.193e-001	5.600e+002	3.260e-004
5.650e+002	-2.209e-001	5.650e+002	3.278e-004
5.700e+002	-2.225e-001	5.700e+002	3.153e-004
5.750e+002	-2.241e-001	5.750e+002	3.270e-004
5.800e+002	-2.258e-001	5.800e+002	3.314e-004
5.850e+002	-2.274e-001	5.850e+002	3.188e-004
5.900e+002	-2.290e-001	5.900e+002	3.261e-004
5.950e+002	-2.306e-001	5.950e+002	3.228e-004
6.000e+002	-2.322e-001	6.000e+002	3.234e-004
6.050e+002	-2.339e-001	6.050e+002	3.256e-004
6.100e+002	-2.354e-001	6.100e+002	3.097e-004
6.150e+002	-2.369e-001	6.150e+002	3.068e-004
6.200e+002	-2.386e-001	6.200e+002	3.304e-004
6.250e+002	-2.401e-001	6.250e+002	3.060e-004
6.300e+002	-2.417e-001	6.300e+002	3.094e-004
6.350e+002	-2.431e-001	6.350e+002	2.950e-004
6.400e+002	-2.448e-001	6.400e+002	3.347e-004
6.450e+002	-2.463e-001	6.450e+002	2.925e-004
6.500e+002	-2.478e-001	6.500e+002	3.122e-004
6.550e+002	-2.494e-001	6.550e+002	3.055e-004
6.600e+002	-2.509e-001	6.600e+002	3.113e-004
6.650e+002	-2.525e-001	6.650e+002	3.120e-004
6.700e+002	-2.539e-001	6.700e+002	2.892e-004
6.750e+002	-2.554e-001	6.750e+002	2.944e-004
6.800e+002	-2.570e-001	6.800e+002	3.107e-004
6.850e+002	-2.585e-001	6.850e+002	2.999e-004
6.900e+002	-2.599e-001	6.900e+002	2.950e-004
6.950e+002	-2.614e-001	6.950e+002	3.005e-004
7.000e+002	-2.629e-001	7.000e+002	2.973e-004
7.050e+002	-2.644e-001	7.050e+002	2.953e-004
7.100e+002	-2.658e-001	7.100e+002	2.871e-004
7.150e+002	-2.673e-001	7.150e+002	2.851e-004
7.200e+002	-2.687e-001	7.200e+002	2.910e-004
7.250e+002	-2.702e-001	7.250e+002	2.878e-004
7.300e+002	-2.717e-001	7.300e+002	3.046e-004
7.350e+002	-2.731e-001	7.350e+002	2.923e-004
7.400e+002	-2.746e-001	7.400e+002	2.960e-004
7.450e+002	-2.761e-001	7.450e+002	2.903e-004
7.500e+002	-2.775e-001	7.500e+002	2.883e-004
7.550e+002	-2.789e-001	7.550e+002	2.875e-004
7.600e+002	-2.804e-001	7.600e+002	2.819e-004
7.650e+002	-2.818e-001	7.650e+002	2.856e-004
7.700e+002	-2.832e-001	7.700e+002	2.895e-004
7.750e+002	-2.847e-001	7.750e+002	2.934e-004
7.800e+002	-2.861e-001	7.800e+002	2.761e-004
7.850e+002	-2.875e-001	7.850e+002	2.755e-004
7.900e+002	-2.889e-001	7.900e+002	2.788e-004
7.950e+002	-2.903e-001	7.950e+002	2.829e-004
8.000e+002	-2.917e-001	8.000e+002	2.803e-004
8.050e+002	-2.931e-001	8.050e+002	2.837e-004
8.100e+002	-2.945e-001	8.100e+002	2.741e-004
8.150e+002	-2.958e-001	8.150e+002	2.745e-004
8.200e+002	-2.973e-001	8.200e+002	2.908e-004
8.250e+002	-2.986e-001	8.250e+002	2.703e-004
8.300e+002	-3.000e-001	8.300e+002	2.827e-004
8.350e+002	-3.015e-001	8.350e+002	2.833e-004
8.400e+002	-3.028e-001	8.400e+002	2.706e-004
8.450e+002	-3.042e-001	8.450e+002	2.674e-004
8.500e+002	-3.055e-001	8.500e+002	2.725e-004
8.550e+002	-3.069e-001	8.550e+002	2.795e-004
8.600e+002	-3.083e-001	8.600e+002	2.691e-004
8.650e+002	-3.096e-001	8.650e+002	2.676e-004
8.700e+002	-3.110e-001	8.700e+002	2.724e-004
8.750e+002	-3.123e-001	8.750e+002	2.705e-004
8.800e+002	-3.136e-001	8.800e+002	2.653e-004
8.850e+002	-3.150e-001	8.850e+002	2.713e-004
8.900e+002	-3.164e-001	8.900e+002	2.748e-004
8.950e+002	-3.177e-001	8.950e+002	2.741e-004
9.000e+002	-3.191e-001	9.000e+002	2.627e-004
9.050e+002	-3.204e-001	9.050e+002	2.652e-004
9.100e+002	-3.218e-001	9.100e+002	2.797e-004
9.150e+002	-3.231e-001	9.150e+002	2.686e-004
9.200e+002	-3.244e-001	9.200e+002	2.572e-004
9.250e+002	-3.258e-001	9.250e+002	2.714e-004
9.300e+002	-3.271e-001	9.300e+002	2.594e-004
