Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:10:32,109217,57621,11276,6004,1402,853,461,348,46563,36224,48500,44681,47106,46997,29565,22542,3762,2381,2405,2990,31123,21484,934,986,1029,944,2762,9658,410,419,732,522,2236,468,329,378,503,717,1384,403,422,336,424,610
0:11:33,103335,55044,10727,5733,1384,797,421,296,44224,35103,46464,43112,45905,44520,28095,21217,3540,2379,2296,2906,29955,20524,984,941,1044,916,2501,9433,409,365,757,505,2074,432,340,392,509,664,1345,432,342,299,396,589
0:12:34,97370,52053,10199,5250,1221,781,405,290,41701,33458,44332,40691,43253,42314,26528,20212,3528,2404,2090,2771,28020,19365,875,846,903,857,2496,9091,345,334,726,456,2026,426,371,379,461,600,1359,373,372,340,388,549
0:13:35,91996,48397,9432,5013,1208,775,408,297,39848,31499,42831,39278,41449,40221,25314,19594,3270,2115,2176,2664,26809,18487,770,783,868,806,2263,8758,371,401,659,435,1920,423,329,340,397,608,1273,356,298,301,375,525
0:14:36,87234,46379,9254,4841,1180,665,375,257,37791,30034,40107,36736,39125,38357,23888,18153,3114,1965,1983,2525,25755,17305,856,766,960,787,2154,8179,319,352,700,431,1888,470,333,317,428,528,1135,391,340,273,374,523
0:15:37,83117,43891,8693,4519,1171,706,360,273,35770,28208,38312,34843,37167,36254,23279,17294,3030,1992,1825,2373,24064,16813,830,733,812,703,2073,7925,278,332,624,411,1767,386,291,275,402,516,1118,324,334,219,342,481
0:16:38,78492,41196,8297,4362,1019,631,331,257,34307,26944,36569,33096,35362,34214,21746,16489,2835,1886,1767,2171,22982,15725,722,733,794,760,1966,7208,329,315,586,421,1644,318,270,314,373,518,1019,313,265,269,317,422
0:17:39,73535,39603,7787,4039,1004,617,302,243,32304,25816,34400,31217,33670,32153,20456,15406,2664,1809,1642,2176,22106,15047,651,661,782,700,1857,6953,297,291,525,353,1461,373,257,276,420,497,1003,289,203,251,256,391
0:18:40,69956,37190,7307,3799,893,546,270,190,30129,24600,32355,29902,32099,31019,19428,14913,2660,1710,1557,2061,20203,14204,669,638,670,666,1809,6544,268,286,485,345,1490,313,262,270,364,464,953,239,307,208,262,384
0:19:41,65764,35119,7039,3807,868,542,232,210,28085,22485,30882,28395,30051,29160,18463,14143,2474,1522,1487,1995,19012,13219,647,574,671,605,1633,6372,228,240,544,307,1459,336,231,244,302,439,893,308,238,202,211,364
0:20:42,62484,33259,6361,3533,845,512,294,193,27186,21621,28879,26940,28438,28030,17727,13539,2269,1513,1472,1906,18492,12922,590,515,634,591,1613,5856,287,243,513,330,1412,307,223,222,376,399,778,307,205,144,242,370
0:21:43,58556,31038,6076,3183,835,499,184,170,25720,20367,27242,25574,27037,26574,16596,12850,2316,1471,1402,1718,17423,12162,572,543,616,562,1514,5625,261,226,460,305,1300,275,226,183,234,393,798,206,202,177,246,349
0:22:44,55532,29212,5914,3027,792,440,199,163,23928,19898,26264,24032,25655,24624,15804,11947,2130,1390,1210,1742,16166,11617,530,514,611,537,1443,5307,197,217,378,268,1209,223,200,232,330,374,641,237,199,158,190,309
0:23:45,52425,27876,5369,2885,665,393,182,167,23015,18752,25132,22872,24092,23541,14762,11625,1987,1233,1227,1458,15759,10914,533,457,547,474,1297,5063,236,203,371,296,1063,278,212,203,262,326,769,251,205,158,262,366
0:24:46,49832,26527,5345,2759,649,416,202,162,21665,17366,23448,21728,22785,22370,14404,11169,1867,1222,1148,1578,14742,10117,498,446,484,489,1352,4860,183,181,376,250,1087,284,175,168,231,299,666,196,155,105,177,300
0:25:47,46958,24844,5021,2590,605,440,188,144,20542,16429,22396,20197,21704,21224,13556,10386,1840,1115,1076,1381,13907,9951,498,411,504,402,1223,4527,163,188,370,235,1061,221,172,137,255,324,654,227,155,151,172,263
0:26:48,44916,23524,4704,2469,586,345,168,138,19537,16036,21212,19378,20624,19797,12680,9978,1761,1068,1060,1296,13508,9502,416,397,477,444,1134,4392,205,168,382,211,982,224,192,174,186,268,641,226,175,140,188,224
0:27:49,42061,22268,4361,2281,569,319,160,161,18604,15069,20353,18767,19407,18809,12034,9217,1722,1012,1041,1269,12454,8813,417,383,404,441,1101,4177,153,154,309,198,915,201,123,173,226,253,583,179,144,179,175,209
0:28:50,39838,21170,4262,2202,533,309,182,125,17593,14342,19129,17502,18560,17797,11520,8839,1577,1067,913,1089,12012,8307,387,389,399,382,974,3862,185,184,280,183,820,174,154,154,152,238,530,170,148,99,176,210
0:29:51,38023,19938,3943,2098,528,327,190,112,16980,13778,18212,16812,17508,16962,11065,8610,1542,978,856,1093,11465,7799,369,352,390,379,1003,3522,160,138,323,164,760,195,141,138,163,259,481,186,137,122,169,225
