Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:00:22,150924,77475,15522,8267,1984,1222,538,440,61112,47662,64848,59591,63995,63576,38346,29696,5004,3389,3250,4069,41543,28158,1327,1130,1397,1242,3513,12612,547,550,1101,682,2909,656,504,502,672,895,1859,577,491,370,559,839
0:01:23,147832,78590,15476,8223,2007,1152,601,435,61376,48163,64983,59665,63535,62945,39460,29346,5099,3251,3197,4172,42186,28114,1247,1184,1438,1302,3728,13089,582,609,971,661,2976,594,459,499,701,949,1866,570,526,451,598,831
0:02:24,149397,77417,15528,7943,1937,1226,592,457,61848,47139,64030,59393,63484,61758,38975,29086,4848,3190,3171,4249,41494,28315,1318,1210,1400,1269,3543,12993,473,553,1041,658,3004,634,499,485,667,870,1969,541,510,426,603,825
0:03:25,147592,76748,15166,7908,1857,1200,614,474,60816,47246,62816,58250,61644,61224,38325,28732,4694,3167,2875,3972,41349,27532,1266,1212,1316,1277,3602,12874,537,561,1064,655,2932,637,476,497,678,920,1916,551,520,401,516,776
0:04:26,146287,74612,14496,7684,1847,1092,584,411,60321,45910,61406,56477,60726,59948,37911,27956,4688,3078,3099,3925,39738,26797,1254,1137,1342,1230,3349,12309,529,500,1035,644,2801,600,538,489,602,876,1954,568,433,407,504,804
0:05:27,137648,71698,14240,7460,1828,1082,521,447,58032,44443,59532,55544,58365,58294,36489,27221,4739,3008,2810,3897,38943,26409,1199,1038,1276,1249,3343,12211,524,537,943,609,2768,623,459,450,622,852,1772,523,466,353,577,779
0:06:28,132854,68797,13711,7225,1743,1102,565,402,55523,43112,57007,52899,56573,56359,35387,26248,4563,2968,2712,3672,37407,25472,1226,1145,1247,1217,3241,11558,494,477,899,636,2654,588,401,441,654,812,1727,495,439,389,497,730
0:07:29,127396,66776,13028,6970,1709,1044,474,422,53325,41873,54946,51348,54346,54413,33656,25157,4310,2697,2810,3582,36040,24474,1138,1012,1262,1104,3156,11327,453,483,898,611,2662,552,414,406,599,778,1629,550,419,336,497,750
0:08:30,120952,63951,12654,6507,1567,955,508,431,51278,39537,53283,49067,52048,51383,32453,24441,4269,2818,2572,3459,34233,23512,1107,942,1109,1099,3005,10795,463,492,801,566,2678,501,430,438,569,801,1509,506,374,328,506,610
0:09:31,116294,60231,11783,6235,1533,927,431,346,48854,38608,51063,46947,49986,49043,30952,23222,3892,2627,2550,3315,32730,22624,913,971,1098,954,2933,10281,437,466,770,508,2376,488,415,420,504,734,1515,450,404,298,455,695
