Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:19:41,96059,50752,9786,4843,1282,657,307,195,17411,18955,29813,25147,27192,95,17953,19437,40250,29839,38643,74,10786,9711,1075,529,871,91,1913,5242,317,325,519,175,1400,882,344,1091,642,268,956,592,441,503,436,243
0:20:42,91585,47646,9495,4437,1130,663,274,205,16534,17747,28090,24092,25978,66,17404,18204,38056,28233,36548,93,9946,8998,1078,532,803,98,1870,5019,319,265,509,170,1270,815,297,1071,722,232,865,504,387,448,381,206
0:21:43,86443,45763,8836,4430,1095,622,238,156,15492,17095,26998,22612,24505,70,16363,17323,36325,26682,34354,82,9296,8926,970,548,767,91,1774,4888,288,280,429,178,1161,805,364,1028,639,244,805,511,421,467,417,191
0:22:44,82199,43352,8466,4071,1097,626,241,163,14884,16612,25614,21374,23296,57,15796,16646,35111,25924,32855,70,9241,8207,967,540,721,101,1602,4603,275,273,427,154,1083,791,341,908,632,210,789,517,384,358,383,155
0:23:45,77956,40817,8088,4050,972,539,238,147,14128,15569,24268,20681,21711,78,14858,15491,33061,24487,30974,82,8734,7808,846,468,779,77,1501,4403,274,205,459,142,1071,667,292,992,599,233,759,475,367,384,376,148
0:24:46,74820,39367,7368,3684,957,585,260,176,13432,14978,23123,19432,20688,63,14072,14956,31341,23162,29805,64,8238,7580,732,498,662,94,1434,4143,247,242,384,140,1063,589,261,849,578,170,698,442,387,385,346,145
0:25:47,70599,37187,7238,3525,880,563,208,149,12717,14245,21985,18676,20110,55,13428,14520,29530,22300,28068,57,7827,7019,846,420,645,59,1391,4063,256,224,328,131,990,644,250,875,505,224,641,467,290,355,294,151
0:26:48,67243,35802,6776,3383,852,439,219,139,12160,13522,20871,17540,18779,66,12463,13560,28475,20790,26699,74,7327,6695,744,407,644,83,1290,3670,232,164,346,136,939,644,248,822,520,196,655,428,328,330,298,102
0:27:49,63453,33366,6468,3159,761,400,218,118,11414,12938,19827,16792,18461,72,12408,12671,26972,19803,25234,75,6894,6243,778,380,607,81,1250,3447,208,231,319,125,929,633,293,756,476,175,561,402,314,327,273,145
0:28:50,60284,31898,6335,2983,835,382,170,111,10821,12162,18890,15954,17118,47,11397,12243,26197,19057,24319,64,6766,6062,698,370,571,73,1222,3466,231,183,312,133,827,564,227,716,414,191,580,376,309,321,277,148
0:29:51,57634,29782,5847,2878,692,413,222,131,10363,11461,17663,15122,16365,42,10958,11457,24116,17976,22725,66,6237,5863,637,322,553,68,1152,3119,197,185,320,124,832,496,206,635,419,115,567,361,321,305,247,109
