Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:00:22,229278,121394,23353,11445,2886,1536,639,460,39685,43098,67313,57693,62147,166,40938,43161,91458,68061,87816,186,23274,21018,2401,1199,1869,251,4044,11534,709,709,1020,409,2821,1825,731,2417,1600,577,2057,1302,933,961,991,518
0:01:23,222000,114312,22592,10892,2817,1674,649,406,38550,41658,65146,55384,60600,176,39744,41879,88132,66280,84947,227,23443,20808,2304,1278,1939,223,3883,11435,683,685,1100,438,2733,1786,666,2352,1490,541,2067,1169,919,998,914,423
0:02:24,216164,112663,22148,10673,2747,1503,590,431,37736,40240,63726,53658,58490,156,39013,40601,86204,63901,82597,165,22597,20273,2294,1125,1903,220,4044,10910,708,612,1074,473,2764,1711,782,2277,1629,514,1888,1149,957,1008,879,445
0:03:25,207250,108650,21125,10298,2659,1490,645,405,36590,39300,61551,51695,56335,144,37626,38946,83262,63094,80028,179,22118,19667,2320,1199,1871,228,3928,10734,644,645,1007,419,2676,1823,687,2212,1440,545,2001,1159,950,962,849,477
0:04:26,202838,103431,20116,9642,2563,1340,589,439,35400,38190,59392,49927,53965,155,36382,37653,80424,60253,76745,222,21055,18892,2165,1156,1880,152,3838,10351,633,575,941,346,2689,1651,714,2173,1424,522,1965,1080,833,883,841,387
0:05:27,194241,99541,19348,9718,2420,1291,586,405,34450,36224,57077,48098,52069,174,35548,36951,77608,57851,73364,171,20541,18581,1973,1010,1692,156,3642,10113,629,552,981,350,2539,1553,652,2012,1307,495,1914,1041,937,909,936,413
0:06:28,182664,95311,18872,9096,2226,1186,625,372,32881,35392,54570,46120,50531,112,33734,34867,74358,55377,71097,172,19675,17680,1974,988,1665,176,3492,9517,586,548,1027,327,2468,1537,601,1870,1364,471,1697,1039,786,877,796,384
0:07:29,174702,91503,17789,8694,2253,1291,567,379,31397,33575,52437,44801,47289,108,32604,33839,71469,52514,67821,201,19528,16795,1977,1041,1577,179,3477,9376,645,552,873,321,2354,1397,648,2006,1217,460,1681,999,801,824,756,402
0:08:30,168244,87861,17038,8212,2225,1241,462,367,30267,32257,50674,42284,45903,126,31302,32456,67917,50949,64434,137,18219,16159,1712,992,1521,173,3296,8872,551,506,880,284,2177,1348,597,1888,1183,463,1543,912,760,877,779,331
0:09:31,160627,82953,16570,7917,1954,1148,459,308,28144,30917,48246,41338,43877,132,29793,31236,66214,48289,62242,139,17576,15478,1711,860,1411,168,3048,8458,519,457,810,249,2117,1319,521,1775,1104,429,1543,934,667,773,690,377
0:10:32,152614,80067,15119,7541,1884,1073,455,283,27447,29189,45667,38804,41898,135,28701,29851,62730,46518,59039,157,16696,15065,1578,871,1406,167,2855,8177,480,527,855,290,1961,1337,563,1730,1082,364,1482,900,733,681,700,342
0:11:33,146364,75871,14817,7082,1717,993,429,288,26014,27782,44216,37333,40109,134,27315,28411,59989,44167,57135,130,15699,14179,1552,775,1298,150,2854,7974,456,412,697,272,1950,1231,500,1604,1075,388,1415,857,715,731,630,286
0:12:34,139067,71472,14256,6888,1714,1019,406,248,25230,26802,42194,35081,38553,104,25979,26916,56911,41936,54268,155,14979,13615,1549,745,1283,149,2599,7487,427,385,711,243,1758,1207,491,1530,989,375,1390,770,645,683,577,279
0:13:35,130830,68440,13621,6284,1598,943,379,260,23821,25605,40326,33362,36780,102,25187,25471,54428,40002,51372,123,14409,12780,1396,731,1187,128,2478,6938,406,402,637,260,1724,1132,456,1560,946,347,1274,738,562,607,547,298
0:14:36,122506,65050,12763,6098,1524,856,417,298,22574,24447,38223,32139,34693,125,23552,24559,51761,38137,49145,112,13828,12251,1415,739,1106,147,2455,6802,414,428,655,246,1866,1081,431,1466,966,335,1227,707,597,638,602,265
0:15:37,118087,61905,12100,5959,1519,872,360,204,21374,23549,36285,30714,33111,98,22108,23123,49532,36208,46746,87,13156,11621,1219,664,1064,133,2286,6391,434,387,667,220,1605,971,392,1312,913,355,1085,705,603,548,476,241
0:16:38,112886,58979,11602,5583,1386,861,360,224,20268,22018,34383,29140,31476,93,21121,22353,46776,34848,44241,116,12383,11082,1280,664,1009,122,2303,6152,398,341,599,204,1471,1022,417,1296,789,252,1128,699,541,578,485,242
0:17:39,106000,56318,10968,5214,1280,740,363,212,19111,21194,32832,27453,29897,85,20023,20964,44910,32578,42073,86,11779,11147,1185,668,1011,121,2099,5803,376,361,481,201,1404,952,390,1300,777,284,982,613,485,473,474,198
0:18:40,101490,52934,10560,4940,1350,744,317,204,18450,20120,31293,26356,28844,75,19358,19660,42665,31560,40008,98,11021,10054,1149,562,946,108,1929,5534,347,315,539,187,1319,928,414,1151,777,277,919,592,491,522,457,215
